Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
1,0,117120,118584,1.2
2,1,104592,112764,7.2
3,2,69828,95076,26.6
4,3,85548,102156,16.3
5,4,84930,102912,17.5
6,5,112104,115074,2.6
7,6,70932,92304,23.2
8,7,83772,101292,17.3
9,8,109536,112632,2.7
10,9,109296,115812,5.6
11,10,70188,94800,26.0
12,11,61656,86088,28.4
13,12,78294,98544,20.5
14,13,103488,109842,5.8
15,14,48228,72600,33.6
16,15,89322,101700,12.2
17,16,109092,111954,2.6
18,17,52368,76128,31.2
19,18,67944,86472,21.4
20,19,70608,90828,22.3
21,20,84150,101538,17.1
22,21,115476,115596,0.1
23,22,48918,74196,34.1
24,23,70662,91482,22.8
25,24,85644,100914,15.1
26,25,83088,99108,16.2
27,26,106170,109986,3.5
28,27,86070,100440,14.3
29,28,84954,99048,14.2
30,29,107748,116118,7.2
31,30,88524,100758,12.1
32,31,101856,105930,3.8
33,32,105204,110196,4.5
34,33,95364,102510,7.0
35,34,83796,97218,13.8
36,35,67194,90300,25.6
37,36,74874,95940,22.0
38,37,106368,109326,2.7
39,38,72138,92766,22.2
40,39,115782,120000,3.5
41,40,86754,100740,13.9
42,41,49650,72660,31.7
43,42,115980,120000,3.4
44,43,105102,109686,4.2
45,44,39900,55092,27.6
46,45,112224,112908,0.6
47,46,101004,106302,5.0
48,47,85830,98622,13.0
49,48,99804,105930,5.8
50,49,94410,101958,7.4
51,50,75588,92148,18.0
52,51,111372,117918,5.6
53,52,92748,102006,9.1
54,53,83304,96564,13.7
55,54,90480,99240,8.8
56,55,51972,67524,23.0
57,56,80880,99102,18.4
58,57,60642,83364,27.3
59,58,67704,87792,22.9
60,59,77094,97140,20.6
61,60,49452,71724,31.1
62,61,88782,101664,12.7
63,62,53814,75996,29.2
64,63,109008,112386,3.0
65,64,110196,117222,6.0
66,65,94824,102486,7.5
67,66,98646,105132,6.2
68,67,71490,87900,18.7
69,68,102702,107526,4.5
70,69,76446,90840,15.8
71,70,104694,116682,10.3
72,71,92706,102414,9.5
73,72,89814,100068,10.2
74,73,97008,102726,5.6
75,74,63510,79824,20.4
76,75,80370,92184,12.8
77,76,103974,118296,12.1
78,77,107268,111420,3.7
79,78,104532,107874,3.1
80,79,102900,106398,3.3
81,80,100200,107112,6.5
82,81,98472,109998,10.5
83,82,97008,105000,7.6
84,83,96408,109926,12.3
85,84,113610,113610,0.0
86,85,62742,85272,26.4
87,86,92556,103458,10.5
88,87,67938,87564,22.4
89,88,98586,104934,6.0
90,89,90636,101412,10.6
91,90,112554,116178,3.1
92,91,112104,116754,4.0
93,92,104136,109494,4.9
94,93,106692,115776,7.8
95,94,28536,41208,30.8
96,95,80940,94182,14.1
97,96,84240,97836,13.9
98,97,106776,114558,6.8
99,98,81216,91524,11.3
100,99,110508,117468,5.9
101,100,78888,92904,15.1
102,101,107526,112842,4.7
103,102,97098,102060,4.9
104,103,96654,103800,6.9
